"tick","Block","PorpoiseCount"
426.0,1,7920
427.0,2,2080
427.0,0,0
427.0,1,7914
428.0,2,2084
428.0,0,0
428.0,1,7910
429.0,2,2084
429.0,0,0
429.0,1,7910
430.0,2,2089
430.0,0,0
430.0,1,7905
431.0,2,2090
431.0,0,0
431.0,1,7904
432.0,2,2101
432.0,0,0
432.0,1,7893
433.0,2,2109
433.0,0,0
433.0,1,7885
434.0,2,2111
434.0,0,0
434.0,1,7883
435.0,2,2116
435.0,0,0
435.0,1,7878
436.0,2,2121
436.0,0,0
436.0,1,7873
437.0,2,2123
437.0,0,0
437.0,1,7871
438.0,2,2121
438.0,0,0
438.0,1,7873
439.0,2,2122
439.0,0,0
439.0,1,7872
440.0,2,2124
440.0,0,0
440.0,1,7870
441.0,2,2133
441.0,0,0
441.0,1,7861
442.0,2,2126
442.0,0,0
442.0,1,7868
443.0,2,2130
443.0,0,0
443.0,1,7864
444.0,2,2132
444.0,0,0
444.0,1,7862
445.0,2,2140
445.0,0,0
445.0,1,7854
446.0,2,2149
446.0,0,0
446.0,1,7845
447.0,2,2147
447.0,0,0
447.0,1,7847
448.0,2,2147
448.0,0,0
448.0,1,7847
449.0,2,2148
449.0,0,0
449.0,1,7846
450.0,2,2149
450.0,0,0
450.0,1,7845
451.0,2,2151
451.0,0,0
451.0,1,7843
452.0,2,2152
452.0,0,0
452.0,1,7842
453.0,2,2157
453.0,0,0
453.0,1,7837
454.0,2,2161
454.0,0,0
454.0,1,7833
455.0,2,2165
455.0,0,0
455.0,1,7829
456.0,2,2174
456.0,0,0
456.0,1,7820
457.0,2,2178
457.0,0,0
457.0,1,7816
458.0,2,2184
458.0,0,0
458.0,1,7810
459.0,2,2186
459.0,0,0
459.0,1,7808
460.0,2,2189
460.0,0,0
460.0,1,7805
461.0,2,2187
461.0,0,0
461.0,1,7807
462.0,2,2195
462.0,0,0
462.0,1,7799
463.0,2,2199
463.0,0,0
463.0,1,7795
464.0,2,2208
464.0,0,0
464.0,1,7786
465.0,2,2207
465.0,0,0
465.0,1,7787
466.0,2,2213
466.0,0,0
466.0,1,7781
467.0,2,2212
467.0,0,0
467.0,1,7782
468.0,2,2214
468.0,0,0
468.0,1,7780
469.0,2,2217
469.0,0,0
469.0,1,7777
470.0,2,2226
470.0,0,0
470.0,1,7767
471.0,2,2228
471.0,0,0
471.0,1,7765
472.0,2,2235
472.0,0,0
472.0,1,7758
